time_ms,ax,ay,az
0,-5,-5,16361
10,-21,-24,17549
20,-16,-22,17494
30,57,47,16589
40,69,56,15710
50,70,54,15946
60,95,75,16918
70,87,63,17344
80,183,155,17483
90,83,51,16683
100,109,73,16638
110,239,198,17004
120,193,147,16414
130,122,70,15867
140,159,102,16456
150,81,18,16996
160,255,186,17898
170,240,164,16880
180,202,120,15497
190,174,85,15277
200,232,137,16730
210,212,110,17868
220,205,96,17731
230,189,74,16439
240,209,86,15561
250,217,88,15804
260,156,20,16418
270,189,47,16995
280,231,83,16910
290,305,151,16809
300,242,83,16418
310,181,17,16038
320,153,-14,15548
330,185,13,15452
340,214,39,16051
350,57,-119,16332
360,185,6,17112
370,228,48,16397
380,29,-150,14451
390,102,-76,14723
400,31,-144,15754
410,82,-90,17279
420,129,-40,17463
430,0,-164,15826
440,32,-125,15115
450,139,-11,15868
460,45,-96,16467
470,-20,-153,16763
480,77,-45,17016
490,-49,-161,16221
500,-6,-106,16356
510,-6,-93,16321
520,-47,-120,15872
530,0,-57,15926
540,2,-40,16495
550,-43,-70,17283
560,-77,-88,17471
570,-131,-125,16414
580,-133,-110,15285
590,-52,-11,15609
600,-108,-49,16706
610,-153,-77,17838
620,-130,-35,17912
630,-178,-66,16570
640,-170,-41,15714
650,-132,13,16136
660,-147,15,16983
670,-198,-19,17267
680,-223,-29,16942
690,-208,-1,16620
700,-157,63,16690
710,-221,11,16294
720,-195,49,16002
730,-247,6,15540
740,-113,150,16524
750,-243,27,16860
760,-147,129,17453
770,-235,45,16145
780,-185,98,15117
790,-170,115,15069
800,-246,38,15981
810,-189,93,17426
820,-120,159,17594
830,-194,80,16070
840,-219,49,15013
850,-187,72,15345
860,-205,45,16125
870,-102,137,16980
880,-117,110,16659
890,-163,50,16068
900,-170,28,15888
910,-208,-26,15585
920,-6,158,15995
930,-106,40,15347
940,-138,-11,15675
950,-92,14,16733
960,-19,67,17259
970,-53,12,16195
980,-60,-17,14964
990,94,116,15510
1000,-71,-71,16099
1010,64,42,17891
1020,0,-43,17560
1030,21,-44,16445
1040,-6,-93,15404
1050,163,55,16315
1060,68,-58,16812
1070,92,-54,17364
1080,83,-81,17081
1090,142,-39,16920
1100,150,-48,16800
1110,98,-114,16440
1120,176,-50,16347
1130,167,-72,16048
1140,219,-31,16696
1150,219,-40,17551
1160,226,-41,17785
1170,181,-93,16647
1180,279,0,15809
1190,193,-89,15356
1200,160,-124,16442
1210,129,-156,17535
1220,183,-100,17642
1230,257,-23,16712
1240,228,-47,15640
1250,201,-68,15741
1260,187,-76,16539
1270,264,9,17295
1280,155,-89,16604
1290,140,-93,16147
1300,79,-141,15764
1310,231,23,16236
1320,149,-43,15531
1330,187,9,15460
1340,168,5,15868
1350,189,43,16860
1360,157,28,17000
