time_ms,ax,ay,az
0,-3,-3,16372
10,-7,-11,16399
20,0,-6,16464
30,49,39,16655
40,61,48,16711
50,67,50,16728
60,86,66,16774
70,86,62,16740
80,148,120,16900
90,92,60,16654
100,112,76,16653
110,194,153,16856
120,171,124,16708
130,131,79,16514
140,157,99,16546
150,113,50,16358
160,220,151,16685
170,214,138,16645
180,193,111,16569
190,178,90,16519
200,215,120,16645
210,205,103,16612
220,201,92,16600
230,193,77,16562
240,205,82,16583
250,210,81,16569
260,173,38,16403
270,193,50,16413
280,217,69,16432
290,260,106,16509
300,221,62,16313
310,183,19,16123
320,164,-3,16010
330,181,9,16030
340,196,20,16060
350,99,-78,15740
360,172,-6,16009
370,195,15,16127
380,72,-107,15780
390,112,-66,15992
400,65,-110,15926
410,92,-80,16110
420,116,-53,16284
430,33,-130,16103
440,48,-109,16238
450,108,-42,16513
460,47,-95,16374
470,2,-130,16279
480,56,-66,16502
490,-24,-136,16268
500,-4,-104,16370
510,-9,-96,16386
520,-38,-111,16325
530,-14,-73,16449
540,-18,-61,16490
550,-50,-78,16447
560,-76,-86,16438
570,-112,-106,16401
580,-118,-95,16474
590,-74,-33,16718
600,-111,-53,16687
610,-143,-66,16672
620,-132,-38,16785
630,-165,-53,16740
640,-164,-34,16788
650,-144,1,16877
660,-156,6,16840
670,-188,-10,16713
680,-206,-12,16618
690,-199,8,16589
700,-170,50,16625
710,-210,22,16426
720,-195,48,16408
730,-227,26,16238
740,-147,115,16451
750,-225,44,16147
760,-168,108,16308
770,-220,60,16114
780,-189,94,16208
790,-179,105,16240
800,-224,61,16094
810,-188,95,16217
820,-144,135,16361
830,-186,88,16214
840,-198,69,16154
850,-177,83,16196
860,-185,65,16128
870,-119,120,16293
880,-125,102,16212
890,-149,64,16063
900,-149,49,15993
910,-167,14,15863
920,-42,122,16222
930,-97,48,15989
940,-112,14,15905
950,-80,26,15995
960,-31,55,16157
970,-46,18,16120
980,-46,-2,16149
990,51,73,16514
1000,-42,-42,16241
1010,43,21,16571
1020,10,-33,16496
1030,27,-37,16583
1040,15,-70,16558
1050,122,15,16912
1060,70,-56,16721
1070,89,-57,16750
1080,88,-76,16699
1090,128,-53,16772
1100,137,-61,16734
1110,110,-103,16574
1120,160,-66,16675
1130,158,-81,16605
1140,193,-57,16666
1150,196,-63,16635
1160,203,-65,16628
1170,179,-96,16528
1180,240,-39,16724
1190,190,-92,16558
1200,172,-112,16501
1210,155,-130,16446
1220,188,-95,16555
1230,234,-47,16698
1240,217,-59,16622
1250,201,-69,16537
1260,192,-71,16464
1270,238,-16,16562
1280,171,-72,16279
1290,161,-71,16178
1300,123,-97,15986
1310,213,5,16222
1320,162,-31,16001
1330,182,4,16034
1340,168,6,15969
1350,178,32,16004
1360,156,26,15953
1370,155,43,15995
1380,55,-38,15726
1390,132,55,16059
1400,142,84,16183
1410,29,-11,15898
1420,95,72,16216
1430,116,110,16378
1440,116,127,16464
1450,65,93,16370
1460,27,70,16307
1470,11,70,16308
1480,4,77,16328
1490,-13,73,16305
1500,3,103,16396
1510,-13,98,16371
1520,-51,72,16283
1530,-45,88,16347
1540,-10,132,16517
1550,-84,66,16334
1560,-93,64,16379
1570,-94,69,16461
1580,-53,115,16691
1590,-134,39,16518
1600,-65,111,16843
1610,-89,88,16851
1620,-86,92,16939
1630,-149,30,16792
1640,-204,-25,16654
1650,-178,-1,16762
1660,-201,-26,16690
1670,-164,7,16793
1680,-200,-32,16637
1690,-242,-78,16448
1700,-249,-90,16361
1710,-209,-55,16428
1720,-196,-48,16405
1730,-151,-9,16492
1740,-232,-96,16168
1750,-227,-97,16143
1760,-138,-15,16408
1770,-193,-77,16205
1780,-210,-101,16139
1790,-164,-62,16290
1800,-198,-103,16181
1810,-187,-98,16221
1820,-240,-158,16043
1830,-204,-128,16155
1840,-158,-89,16290
1850,-175,-112,16203
1860,-153,-95,16235
1870,-131,-79,16254
1880,-129,-82,16197
1890,-160,-119,16025
1900,-115,-78,16106
1910,-87,-55,16131
1920,-85,-57,16080
1930,-101,-77,15976
1940,-98,-78,15951
1950,-94,-78,15948
1960,-13,0,16216
1970,-53,-43,16098
1980,-40,-34,16168
1990,-50,-47,16173
2000,16,16,16438
2010,-35,-38,16309
2020,25,19,16547
2030,31,21,16594
2040,46,33,16659
2050,4,-11,16520
2060,118,98,16880
2070,70,46,16687
2080,107,79,16762
2090,120,88,16747
2100,79,43,16543
2110,133,91,16651
2120,150,103,16639
2130,141,89,16546
2140,154,97,16537
2150,208,145,16674
2160,122,52,16356
2170,193,117,16575
2180,181,100,16529
2190,207,118,16613
2200,261,166,16799
2210,167,65,16487
2220,218,109,16656
2230,208,93,16614
2240,174,51,16479
2250,230,101,16635
2260,207,71,16516
2270,189,47,16401
2280,229,80,16470
2290,209,55,16338
2300,230,70,16340
2310,198,34,16173
2320,141,-26,15933
2330,193,21,16070
2340,206,31,16095
2350,177,0,15999
2360,133,-45,15877
2370,169,-10,16042
2380,150,-28,16041
2390,134,-44,16065
2400,112,-63,16082
2410,79,-93,16066
2420,100,-69,16231
2430,81,-82,16261
2440,68,-89,16303
2450,-9,-160,16119
2460,97,-45,16540
2470,49,-84,16433
2480,20,-102,16382
2490,52,-59,16525
2500,19,-80,16448
2510,-19,-106,16353
2520,-8,-81,16425
2530,-9,-68,16465
2540,-55,-98,16367
2550,-83,-110,16338
2560,-41,-52,16553
2570,-76,-70,16521
2580,-147,-124,16377
2590,-92,-51,16658
2600,-102,-43,16719
2610,-123,-47,16737
